,place_name,place_id,lat,lng,type,weekday,hour,moment_value,time
154,Kenken Petshop,ChIJocgBRSqs1TERN2VzaQeQEL0,0.5168680000000001,101.475636,pet_store,tuesday,0,0,2019-05-07 00:00:00
155,EVO PETSHOP AND COFFEESHOP,ChIJB4CiO2St1TERpAV6IwxlFO8,0.516386,101.44172900000001,pet_store,tuesday,0,0,2019-05-07 00:00:00
156,EVO PETSHOP AND COFFEESHOP,ChIJbVLH17Ot1TERtV0sw87XD34,0.5163732,101.4414775,pet_store,tuesday,0,0,2019-05-07 00:00:00
157,Happy Puppy,ChIJI4X9Y42r1TERI3V4hdkFlWA,0.535046,101.4231979,night_club,tuesday,0,19,2019-05-07 00:00:00
158,PETERSELI KITCHEN,ChIJ-YOvERSs1TER1tk3upFhaLs,0.5104270000000001,101.454093,night_club,tuesday,0,0,2019-05-07 00:00:00
159,Happy Puppy Sudirman,ChIJrX9EVxKs1TERy1Pvkk4dJPA,0.4887462,101.4540202,night_club,tuesday,0,22,2019-05-07 00:00:00
160,NEW PARAGON KTV POOL & CAFE,ChIJJX3PK2us1TERVOX4W6ETvQg,0.5347780999999999,101.45347740000001,night_club,tuesday,0,32,2019-05-07 00:00:00
161,Terminal 8,ChIJsWPnqLyu1TERctXbYsftvdE,0.5055955000000001,101.451216,night_club,tuesday,0,52,2019-05-07 00:00:00
162,Arena Entertaiment,ChIJGWHdnLKu1TER9_FWedco2Vo,0.5058694000000001,101.43507240000001,night_club,tuesday,0,40,2019-05-07 00:00:00
163,Family Box,ChIJGYaFW5Ku1TERV-hZ8QetPps,0.4994803,101.4661837,night_club,tuesday,0,0,2019-05-07 00:00:00
164,Club Executive CE7,ChIJJfqMZwms1TERFl6DPJfVDp0,0.528563,101.43829040000001,night_club,tuesday,0,38,2019-05-07 00:00:00
165,MP Club,ChIJSRPzUhKs1TERfY0QakYb8eQ,0.5318499000000001,101.4480708,night_club,tuesday,0,19,2019-05-07 00:00:00
166,CGV Studio Pekanbaru,ChIJYcEdBaiu1TERQJJuhdns2t8,0.5101367,101.4469543,movie_theater,tuesday,0,0,2019-05-07 00:00:00
