,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
46,Rismaljln anggrek,ChIJu8t4IaWu1TERVICesuiHG-k,0.5070677,101.4477793,bar,,,,,,,
47,Terminal 8,ChIJsWPnqLyu1TERctXbYsftvdE,0.5055955000000001,101.451216,bar,"[49, 28, 12, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4, 8, 11, 15, 16, 16, 15, 16, 24, 39, 55, 61]","[52, 33, 15, 0, 0, 0, 0, 0, 0, 0, 2, 5, 10, 14, 17, 16, 12, 8, 4, 6, 19, 38, 48, 50]","[49, 35, 15, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6, 10, 14, 16, 15, 12, 9, 9, 17, 32, 51, 62]","[56, 38, 19, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 12, 15, 16, 16, 17, 18, 18, 21, 34, 53, 64]","[55, 33, 14, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 21, 27, 27, 24, 18, 12, 9, 15, 31, 53, 68]","[65, 46, 24, 0, 0, 0, 0, 0, 0, 0, 1, 4, 10, 18, 26, 28, 24, 17, 11, 12, 23, 47, 77, 99]","[100, 78, 48, 23, 0, 0, 0, 0, 0, 0, 0, 3, 9, 16, 25, 35, 36, 26, 15, 12, 23, 42, 60, 63]"
48,Driver Chapter Favorit,ChIJI9viNBCv1TERYBTvxJR7HUg,0.5029868999999999,101.45387740000001,bar,,,,,,,
49,Ojol Chapter Favorit,ChIJWbfoeLWv1TERIe-Jz1o74FY,0.5029710999999999,101.4538757,bar,,,,,,,
50,Kos Andika,ChIJ5SG9Sqyu1TER-f_9yr57cj8,0.5084571,101.4381237,bar,,,,,,,
51,BIUS. KOPI,ChIJte0t5T6v1TERr-vcWFjdS5Q,0.4990951,101.43895359999999,bar,,,,,,,
52,Natasha Skin Care - Pekanbaru,ChIJ_ZFH7Eap1TERrUlFBrp_Bsc,0.5001180000000001,101.41878,beauty_salon,,,,,,,
53,Inasa Cosmetic Dan Laser Clinic,ChIJYz4IcxGs1TERU9NdqBm7_tU,0.5284595000000001,101.4488489,beauty_salon,,,,,,,
54,waxing corner,ChIJq52FVZ6u1TERPhQQdP1rXDY,0.513012,101.459688,beauty_salon,,,,,,,
55,Marie France Bodyline - Pekanbaru,ChIJPcFM7Eap1TERLQehcOvH6hI,0.5001289999999999,101.418829,beauty_salon,,,,,,,
56,Impression Pekanbaru,ChIJLxl-6h-s1TERJanDw6dDe6o,0.508322,101.476509,beauty_salon,,,,,,,
57,Nike,ChIJ74WS_QGs1TERynUfDjrFTQw,0.5153770000000001,101.43914000000001,beauty_salon,,,,,,,
58,Permaisuri,ChIJJ5A9PwKs1TER3J5jt5iLZUI,0.5166507,101.4409329,beauty_salon,,,,,,,
59,Vivi Salon,ChIJhQWTHwSs1TERd1w5Ez0G3UY,0.5211418999999999,101.439666,beauty_salon,,,,,,,
60,Salon Rudy & Spa RHO,ChIJvU2FaRCs1TERGyDDsDOa1Rk,0.5256367,101.44708979999999,beauty_salon,,,,,,,
61,Sanggar Diza,ChIJl49gQ-2u1TERiQEF13yfwZQ,0.4959071,101.46704670000001,beauty_salon,,,,,,,
