,place_name,place_id,lat,lng,type
180,company individual,ChIJD9AiVlmv1TERggtza0OTykA,0.4457527999999999,101.450298,dentist
181,Dokter Gigi,ChIJybFBuO2o1TER7ihci9ptM2g,0.463243,101.4018787,dentist
182,Praktek Dokter Gigi drg. Desi Zainul A,ChIJY6GKFu2o1TERtdhuU-EDw6E,0.4610276,101.4016422,dentist
183,Praktik Dokter Gigi Pramono & Maiyu,ChIJX_jknu_E1TER2Nyij7dhgwA,0.3838457,101.8576954,dentist
184,drg.TRESTY(achie),ChIJ5VpuAqSu1TERReve3EH1XkY,0.5106429,101.450477,dentist
185,drg.ACHIE ( Dental Care ),ChIJI0Btr6au1TERajaUSubh8wk,0.5110804000000001,101.4503241,dentist
186,Dokter Gigi Yuliana,ChIJ74AiS7Cu1TERZ8XkX1iIMZw,0.5047393,101.4425202,dentist
187,LUQYANA DENTAL CLINIC by. Drg Yuliana,ChIJyyfKSrCu1TEREbVHZCtZjek,0.5048328,101.4424539,dentist
188,"Drg Wan Fajriatul M, SpKG",ChIJbeBjMqGu1TERpxji3ky-0bU,0.5123679999999998,101.451145,dentist
189,Praktek Dokter Gigi Marliza,ChIJNcfnUKKu1TER3CMDJR3P-ak,0.5087310999999999,101.4543619,dentist
190,"Ahli Pasang Gigi ""Achmad""",ChIJu0FS57Gu1TERildC7vq48Zg,0.5057698,101.4409744,dentist
191,Suci's Dental,ChIJOZ5khqGu1TERmNBG9j9pPoM,0.5109273,101.4543452,dentist
192,Spartan Fitness & Health Club,ChIJU2QTb-qu1TERlrWlQOSi4Gw,0.4939019000000001,101.4576938,gym
193,Obet Fitnes,ChIJSdDj9HWs1TERAFginlg7gzA,0.5371959999999999,101.4343576,gym
194,Senam Pesona Pekanbaru,ChIJZSu92Ouo1TERKq7SFlrfw3k,0.464433,101.407381,gym
195,Ease to Fit,ChIJYUEoU7ep1TEREXB66TsmIiI,0.487243,101.371437,gym
196,Poppies,ChIJkeMN892v1TERuTW_Re5CQNA,0.5065337999999999,101.4465644,gym
197,Sanggar Senam Jn,ChIJA_JhUaWu1TERYswv-hX1uqI,0.5063563999999999,101.4457349,gym
198,Riau Fitness,ChIJVSfCyRKv1TERjqWrK7Ve6RI,0.5048042999999999,101.4439536,gym
199,Adilla Studio 2,ChIJcSeoE6au1TERgYUW6uocZ0I,0.5114787,101.4465097,gym
200,Akupuntur,ChIJRyp6eJCv1TER9aS0tezj0cY,0.5078055,101.4422647,gym
201,Sky Gym & Aerobik Center,ChIJZ15T5a6u1TERcnYipPqx_1Q,0.5089693000000001,101.4417458,gym
202,Malay Yoga,ChIJkx-9bq6u1TERqxt2POkPMMc,0.5075609,101.4405798,gym
203,Devata Family Spa & Fitness,ChIJz5WQkb6u1TERfgsT6cHSq4Q,0.5006011000000001,101.4529516,gym
204,BADNUR MEDISA GYM Cabang Sekolah Beladiri,ChIJv-8ghrGu1TERwXKKJRbsMD0,0.504331,101.439845,gym
205,Jaguar Fitness,ChIJn2hXPKiu1TERSmPMGKKf57w,0.5145605,101.4437674,gym
206,Posyandu Pucuk Rebung Sekuntum,ChIJY6qqBfyv1TER6lt3cOT0kGM,0.5079655999999999,101.4563559,gym
207,Anggreg 46,ChIJsddB0a2u1TER14a2NRyNFiI,0.5080399999999999,101.43915,gym
208,Prima Beauty Centre,ChIJEzq_HKiu1TERmtL7YWT5yOk,0.5151059,101.4444923,gym
209,Yamaha Motot,ChIJD7D5i62u1TERw6dwCL0Cfwk,0.5063559,101.4378549,gym
210,Zala Futsal,ChIJW5zUaymv1TER7SQGj6JNt2Y,0.5049085999999999,101.4379532,gym
211,Pak Kadir Urut&Reflexy,ChIJafWnkwKs1TERqcuaaJC2MnM,0.5163441,101.4433692,gym
212,Rapi,ChIJwxgBjP-r1TERZEHrlc9IRrw,0.5167833,101.4335472,hair_care
213,Salon Rudy & Spa RHO,ChIJvU2FaRCs1TERGyDDsDOa1Rk,0.5256367,101.4470898,hair_care
214,Kaizen Pekanbaru,ChIJn1_MePir1TERfh4utLoeCq8,0.5225964,101.4337977,hair_care
215,MAXX SALON FOR MEN (RUDY HADISUARNO),ChIJeablhtau1TERmhvb7Iw6mDw,0.4808061000000001,101.440224,hair_care
216,Barberbaard,ChIJW_-382qs1TERv8ihc9lF3pE,0.5357609999999999,101.454945,hair_care
217,Moustache Barbershop,ChIJXaFPD2us1TERhuR9RspMiQU,0.5360112,101.4545801,hair_care
218,Kaizen Mal SKA Pekanbaru,ChIJf0uMw0ap1TERCm4jSkcyG3I,0.49995,101.417979,hair_care
219,MAXX BARBERSHOP by Rudy Hadiswarno,ChIJG1IH54qr1TERKojHXPWsFd4,0.5350244999999999,101.4315145,hair_care
220,Johnny Andrean,ChIJj82tEYur1TERkYvRnrbZ4Bs,0.53551,101.4301693,hair_care
221,enbrosse barbershop,ChIJo7OEq6qu1TERNETEK_CI0cU,0.5308425999999999,101.4793763,hair_care
222,Pekanbaru Shop,ChIJ3RinInOp1TERsGXFqR8oamI,0.4978723999999999,101.3964027,hair_care
223,Omar Barbershop,ChIJwYFR6e6o1TER4aSbzo_pmpE,0.4660990999999999,101.4038227,hair_care
224,Pangkas rambut prima jaya,ChIJaWDw71mv1TERMdrBp54ebQ8,0.4452280999999999,101.4460174,hair_care
225,Bos Pomade,ChIJT5ze42yo1TERV84pKFnlvl0,0.4630841000000001,101.380892,hair_care
226,Pangkas Rambut Excellent,ChIJGVMJOePE1TERZwpjGHPVaxc,0.3982867,101.8561048,hair_care
227,Pangkas rambut ARYA,ChIJhT9Kuvuv1TERlpFGQ55UNRY,0.5065174,101.4490914,hair_care
228,Pangkas Rambut Model,ChIJ2Y5SsqWu1TERO_420syFK94,0.5090912,101.4478928,hair_care
229,Lam Alif Barbershop,ChIJi38KfDav1TERiiTtNxU5xTQ,0.509099,101.4478736,hair_care
230,Salon aisyah bohay...,ChIJ1QQQELOv1TERa3d2zN6fXJQ,0.5065453,101.4457332,hair_care
231,Pangkas Rambut Necis,ChIJ-8GE-Qav1TERTXw703f-GLM,0.5067126000000001,101.4456698,hair_care
232,Rumah Sakit Umum Daerah Petala Bumi,ChIJNTmw_z2s1TERIVNXuTa0NxM,0.528967,101.4569914,hospital
